"POINT_ID","coarse","clay","silt","sand","pH_in_H2O","pH_in_CaCl","OC","CaCO3","N","P","K","CEC","Notes","sample_ID","GPS_LAT","GPS_LONG","X","Y"
"47942726.00","28",10,28,61,5.03,4.66,23.8,0,2.5,13.9,83.1,9.4,NA,"455",47.46696,16.27821,16.27821,47.46696
"47922830.00","13",24,59,17,7.7,7.2,16.5,51,1.7,24.9,329.8,18,NA,"395",48.40043,16.36728,16.36728,48.40043
"47902736.00","41",3,16,81,6.35,6.12,47.4,2,4,20.7,113.6,12.8,NA,"459",47.5596,16.23629,16.23629,47.5596
"47882836.00","22",28,53,18,7.84,7.3,13.4,37,1.3,12.8,233,21.6,NA,"392",48.45729,16.32026,16.32026,48.45729
"47882830.00","3",15,46,39,4.81,4.28,18.5,0,1.6,20.4,96,7.7,NA,"396",48.40308,16.31361,16.31361,48.40308
"47882776.00","28",39,43,19,8.18,7.43,21.5,147,2.2,14.3,387.2,25.7,NA,"428",47.91948,16.25354,16.25354,47.91948
"47882758.00","22",31,47,22,7.77,7.38,24.2,116,2.2,89.9,693.3,18.6,NA,"435",47.75817,16.23424,16.23424,47.75817
"47882740.00","18",12,32,55,5.17,4.81,21.3,0,2.2,10.9,54.3,8.7,NA,"458",47.59702,16.21403,16.21403,47.59702
"47882704.00","6",15,38,47,4.66,4.1,27.5,1,1.8,10.6,70.9,8.2,NA,"429",47.27426,16.17533,16.17533,47.27426
"47862838.00","7",42,54,4,7.72,7.23,14.7,38,1.7,0,312.8,25.5,NA,"390",48.47674,16.29555,16.29555,48.47674
"47862690.00","2",23,54,23,5.36,4.47,12.9,1,0.9,0,184.9,12.9,NA,"261",47.15024,16.13419,16.13419,47.15024
"47862672.00","11",20,48,33,7.22,6.62,4.7,0,0.5,20,92.7,16.2,NA,"262",46.9889,16.11534,16.11534,46.9889
"47842720.00","22",8,33,60,4.65,3.98,34.8,1,1.8,12.6,83.7,7.4,NA,"444",47.42069,16.13964,16.13964,47.42069
"47842716.00","50",7,19,74,5.36,4.32,9.5,0,1.1,19.8,67.5,4.8,NA,"445",47.38479,16.13532,16.13532,47.38479
"47842688.00","10",34,50,16,5.48,4.98,25.9,0,2.7,14.1,77.2,16.1,NA,"260",47.13379,16.10583,16.10583,47.13379
"47822862.00","2",24,29,47,7.86,7.22,17.8,17,1.6,16.7,262.6,19.3,NA,"331",48.69497,16.26859,16.26859,48.69497
"47822830.00","3",22,61,17,7.86,7.42,17,59,1.7,28.8,228.4,18.1,NA,"393",48.40839,16.23277,16.23277,48.40839
"47822764.00","49",24,33,43,7.7,7.19,38.8,178,3.5,22.7,315.5,25.5,NA,"434",47.81664,16.16028,16.16028,47.81664
"47822736.00","16",15,39,46,3.71,3.29,87.5,0,4.3,20.5,87.8,15.4,NA,"456",47.56564,16.13023,16.13023,47.56564
"47822728.00","10",19,45,36,6.41,5.96,32,1,3,22.5,257.6,13.3,NA,"323",47.49393,16.12172,16.12172,47.49393
"47822722.00","15",18,42,40,5.86,5.26,49.4,0,3.6,17.1,157.7,18,NA,"324",47.44008,16.11531,16.11531,47.44008
"47802840.00","8",21,73,5,7.87,7.28,14.1,176,1.3,20.9,202.4,16,NA,"338",48.49921,16.21685,16.21685,48.49921
"47802746.00","23",20,46,33,4.26,3.9,40.8,0,3.3,27.8,122.8,10.5,NA,"460",47.65678,16.1144,16.1144,47.65678
"47802732.00","19",15,41,45,5.91,5.67,34.8,1,3.2,30.6,56.5,7.4,NA,"457",47.53128,16.09951,16.09951,47.53128
"47802696.00","14",26,50,23,4.33,3.7,17.6,2,1.3,0,67,10.4,NA,"304",47.20847,16.06161,16.06161,47.20847
"47782854.00","13",30,56,14,7.86,7.13,19.5,10,1.9,14.1,324.8,25.8,NA,"335",48.62591,16.2056,16.2056,48.62591
"47782686.00","10",29,55,16,6.82,6.28,18.5,0,1.9,36.9,199.4,13.8,NA,"259",47.12029,16.025,16.025,47.12029
"47782656.00","9",39,51,11,6.45,5.88,24.3,1,2.8,63.5,350.8,25.2,NA,"251",46.85115,15.99412,15.99412,46.85115
"47762666.00","8",21,63,16,5.64,5.15,14.8,0,1.5,13.1,96.7,13.5,NA,"255",46.9421,15.97804,15.97804,46.9421
"47742848.00","9",30,45,24,7.53,7.03,23.5,117,1.8,13.2,292,22.2,NA,"336",48.57543,16.1447,16.1447,48.57543
"47742758.00","29",39,37,24,7.45,7.12,65.7,110,6,15.2,528.5,41,NA,"433",47.76881,16.04746,16.04746,47.76881
"47742710.00","28",25,41,34,6.31,6.09,16.1,0,1.7,0,90.8,18.2,NA,"446",47.33845,15.99709,15.99709,47.33845
"47742674.00","2",22,55,24,4.74,3.73,13.5,0,0.9,0,86.6,9.3,NA,"258",47.01552,15.96014,15.96014,47.01552
"47742664.00","5",19,39,42,5.53,4.66,19.9,0,2,0,58.8,12.8,NA,"249",46.92587,15.94997,15.94997,46.92587
"47742660.00","10",25,52,22,4.91,4.18,25.5,0,1.9,0,146.5,10.9,NA,"252",46.88998,15.94588,15.94588,46.88998
"47722816.00","2",31,50,19,7.73,7.23,14.1,104,1.7,29.3,207.7,27.6,NA,"387",48.29017,16.08283,16.08283,48.29017
"47722780.00","51",18,52,31,7.31,6.89,197.8,313,8.2,11.5,89,77.8,NA,"432",47.96751,16.0442,16.0442,47.96751
"47722698.00","11",28,58,14,6.15,5.42,17.8,0,2,26.8,151.2,16.4,NA,"312",47.23226,15.95845,15.95845,47.23226
"47722672.00","1",32,54,14,6.19,5.81,14,0,1.5,17.2,171,20.7,NA,"257",46.9993,15.93201,15.93201,46.9993
"47702848.00","16",18,56,26,7.74,7.19,15,67,1.4,27.2,360.3,14,NA,"337",48.57841,16.09073,16.09073,48.57841
"47702818.00","23",34,48,18,7.6,7.17,15.9,19,1.8,23.4,236.2,27.6,NA,"388",48.30955,16.0581,16.0581,48.30955
"47702812.00","9",21,68,11,7.94,7.4,17.3,170,1.4,13.8,200.8,16.2,NA,"333",48.25581,16.05164,16.05164,48.25581
"47702714.00","18",20,41,39,4.71,4.28,30.9,1,2.8,0,114.5,13.6,NA,"325",47.3772,15.94851,15.94851,47.3772
"47702656.00","17",24,59,17,7.52,7.05,15.2,14,1.8,37.6,180.7,19.6,NA,"247",46.8569,15.88955,15.88955,46.8569
"47682690.00","7",20,60,20,4.45,3.69,39.5,1,2,10.9,69.3,5.8,NA,"305",47.16338,15.89764,15.89764,47.16338
"47682646.00","5",39,54,7,6.39,6.05,20,1,2.2,44.8,247.8,22.9,NA,"246",46.76867,15.85342,15.85342,46.76867
"47662860.00","11",30,43,27,8.01,7.28,16.5,9,1.5,22.7,358.4,22.5,NA,"340",48.6889,16.04967,16.04967,48.6889
"47662698.00","31",29,41,30,6.37,5.84,14.1,2,1.5,84,402.6,19.1,NA,"306",47.23656,15.87944,15.87944,47.23656
"47642862.00","8",28,62,10,7.96,7.31,22.3,26,1.9,11.1,455,25.2,NA,"391",48.70829,16.02475,16.02475,48.70829
"47642830.00","5",20,70,10,7.9,7.22,16.3,76,1.6,19,390.4,17.3,NA,"339",48.42152,15.99025,15.99025,48.42152
"47642718.00","8",15,32,53,4.3,4.1,22.7,1,1.7,10.2,56.2,5.4,NA,"322",47.41735,15.87334,15.87334,47.41735
"47642704.00","6",11,29,59,4.71,4.06,27.1,1,1.7,0,67.1,3.8,NA,"313",47.29181,15.85917,15.85917,47.29181
"47642682.00","13",21,42,36,6.94,6.49,18.6,2,2,34.4,104.8,16.7,NA,"303",47.09446,15.83705,15.83705,47.09446
"47642674.00","5",26,46,28,7.14,5.81,20.5,0,2.2,0,105.2,21.9,NA,"256",47.02271,15.82904,15.82904,47.02271
"47642668.00","12",17,61,22,6.07,5.76,14.5,2,1.7,101.8,224.7,14.4,NA,"248",46.96888,15.82306,15.82306,46.96888
"47642640.00","5",9,30,61,7.12,6.83,28,2,2.4,91.8,292.7,14.9,NA,"245",46.718,15.79569,15.79569,46.718
"47622718.00","15",14,28,58,5.77,5.27,21.7,0,2.3,15.4,75.2,6.3,NA,"321",47.4188,15.84698,15.84698,47.4188
"47622700.00","9",16,38,46,6.45,5.8,41.2,2,2.2,14.9,233.4,19.1,NA,"307",47.25734,15.82883,15.82883,47.25734
"47582788.00","27",41,51,7,4.82,3.88,34.9,2,2.2,0,117.4,13.7,NA,"366",48.04936,15.86552,15.86552,48.04936
"47582694.00","20",16,29,55,6.71,6.12,19.1,1,1.7,29.1,144.6,15.5,NA,"308",47.20634,15.77017,15.77017,47.20634
"47582644.00","9",22,41,37,5.42,4.57,27.5,0,2.5,0,75.2,10.6,NA,"96",46.75774,15.72118,15.72118,46.75774
"47562664.00","4",19,47,33,6.84,6.37,17.7,0,1.9,64.3,213.3,17.5,NA,"311",46.93864,15.71436,15.71436,46.93864
"47562650.00","8",21,62,16,6.29,5.86,14.1,2,1.7,31.6,214.8,12,NA,"101",46.81245,15.70089,15.70089,46.81245
"47542840.00","7",20,68,12,7.97,7.43,14,130,1.3,17,176.5,16,NA,"363",48.51838,15.86606,15.86606,48.51838
"47522872.00","18",21,65,14,6.71,6,11.8,0,1.3,30.1,189.9,9,NA,"360",48.80663,15.87278,15.87278,48.80663
"47522800.00","4",17,44,38,4.92,3.97,19.7,0,1.7,0,61.6,8.5,NA,"365",48.16117,15.79752,15.79752,48.16117
"47522738.00","16",9,52,39,7.25,6.84,38.4,20,3.6,10.4,54.2,20.8,NA,"301",47.60523,15.73478,15.73478,47.60523
"47522710.00","24",15,33,52,4.49,3.75,108.4,2,5.7,24.6,92.6,16,NA,"319",47.35405,15.70695,15.70695,47.35405
"47522702.00","12",17,32,50,4.18,3.67,43.3,0,1.6,11.2,87.3,7,NA,"314",47.28228,15.69907,15.69907,47.28228
"47522692.00","12",20,42,38,5.83,5.44,20.7,1,2.4,86.2,289.6,11.7,NA,"289",47.19244,15.68932,15.68932,47.19244
"47502820.00","4",24,55,21,8.43,7.48,22.7,181,1.8,18.4,210.6,17.1,NA,"368",48.34192,15.79075,15.79075,48.34192
"47502798.00","26",34,57,9,5.94,5.61,38.9,1,3.8,11,119,23.9,NA,"367",48.14469,15.76875,15.76875,48.14469
"47502726.00","23",9,28,63,4.91,4.43,36.2,0,3.1,19.3,71.8,8.6,NA,"320",47.49896,15.69633,15.69633,47.49896
"47482864.00","3",32,59,9,7.79,7,25.7,13,1.9,13.8,136.1,27.5,NA,"358",48.73776,15.81008,15.81008,48.73776
"47482860.00","29",32,45,23,6.56,6.01,15.2,0,1.6,17.8,244.9,15,NA,"357",48.70184,15.8049,15.8049,48.70184
"47482810.00","3",29,59,13,8.07,7.29,13.3,32,1.5,75.5,305.9,21.1,NA,"364",48.25365,15.75419,15.75419,48.25365
